sex,ethnicity,misc1,misc2,sexethnicity
F,W,,,FW
M,W,,,MW
F,NW,,,FNW
M,W,,,MW
M,W,,,MW
F,W,,,FW
F,W,,,FW
F,W,,,FW
M,NW,,,MNW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,W,,,FW
M,W,,,MW
M,W,,,MW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,W,,,FW
F,W,,,FW
F,NW,,,FNW
F,W,,,FW
M,W,,,MW
F,W,,,FW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,NW,,,FNW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,NW,,,FNW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,W,,,FW
M,W,,,MW
F,W,,,FW
M,W,,,MW
F,NW,,,FNW
M,W,,,MW
M,W,,,MW
M,NW,,,MNW
M,W,,,MW
M,NW,,,MNW
M,W,,,MW
F,W,,,FW
M,W,,,MW
F,W,,,FW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,NW,,,MNW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,NW,W,https://www.linkedin.com/in/jamie-lopez-bernal-47b44b1b/,MNW
F,NW,,,FNW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,NW,,,FNW
M,W,,,MW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
F,W,,,FW
M,W,,,MW
M,W,,,MW
M,W,,,MW
M,NW,,,MNW
F,W,,,FW
M,W,,,MW
F,W,,,FW
M,W,,,MW
F,W,,,FW
M,W,,,MW
F,W,,,FW